fico, loanRateDiff, loanTimeRemaining, isInCurrentOrder, noFee, loanType, purpose, loanAmountRequested, title, loanAmtRemaining, primeUnfundedAmount, alreadyInvestedIn, loanGrade, searchrank, loan_status, hasCosigner, isWholeLoan, primeFractions, wholeLoanTimeRemaining, alreadySelected, loanUnfundedAmount, loanAmt, loanLength, loanGUID, amountToInvest, primeTotalInvestment, loanRate, primeMarkedInvestment, 
695-699, .00, 1109897817, false, 0, Personal, credit_card, 7000, Credit card refinancing, 1350, 0, false, A4, -1, INFUNDING, false, 0, 0, -93235183, false, 1350, 7000, 36, 70640701, 0, 0, 7.39, 0, 
665-669, .00, 1124438817, false, 0, Personal, home_improvement, 7000, 1400, 0, false, B5, -1, INFUNDING, false, 0, 0, -35635183, false, 1375, 7000, 36, 70281648, 0, 0, 11.47, 0, 
670-674, .00, 1177856817, false, 0, Personal, credit_card, 18000, Credit card refinancing, 1550, 0, false, E2, -1, INFUNDING, false, 0, 0, -21235183, false, 1525, 18000, 60, 70151356, 0, 0, 20.75, 0, 
685-689, .00, 1180398817, false, 0, Personal, credit_card, 6850, Credit card refinancing, 1750, 0, false, C2, -1, INFUNDING, false, 0, 0, -21235183, false, 1725, 6850, 36, 70620509, 0, 0, 12.99, 0, 
685-689, .00, 1091689817, false, 0, Personal, debt_consolidation, 8400, Debt consolidation, 1750, 0, false, A5, -1, INFUNDING, false, 0, 0, -64435183, false, 1725, 8400, 36, 70026068, 0, 0, 7.89, 0, 
670-674, .00, 1199976817, false, 0, Personal, credit_card, 5000, Credit card refinancing, 1750, 0, false, B4, -1, INFUNDING, false, 0, 0, -6835183, false, 1725, 5000, 36, 70561284, 0, 0, 10.75, 0, 
665-669, .00, 1202146817, false, 0, Personal, other, 4050, Other, 1775, 0, false, C4, -1, INFUNDING, false, 0, 0, -6835183, false, 1750, 4050, 36, 70721290, 0, 0, 14.46, 0, 
665-669, .00, 1184421817, false, 0, Personal, moving, 7000, Moving and relocation, 2000, 0, false, E1, -1, INFUNDING, false, 0, 0, -21235183, false, 1975, 7000, 36, 70451357, 0, 0, 19.99, 0, 
720-724, .00, 1199801817, false, 0, Personal, debt_consolidation, 9600, Debt consolidation, 2100, 0, false, C2, -1, INFUNDING, false, 0, 0, -6835183, false, 2100, 9600, 36, 70741247, 0, 0, 12.99, 0, 
660-664, .00, 1171936817, false, 0, Personal, credit_card, 8400, Credit card refinancing, 2125, 0, false, B5, -1, INFUNDING, false, 0, 0, -35635183, false, 2125, 8400, 36, 70110974, 0, 0, 11.48, 0, 
670-674, .00, 1133396817, false, 0, Personal, credit_card, 8000, Credit card refinancing, 2200, 0, false, B2, -1, INFUNDING, false, 0, 0, -35635183, false, 2200, 8000, 36, 69983210, 0, 0, 9.16, 0, 
670-674, .00, 1198847817, false, 0, Personal, debt_consolidation, 5600, Debt consolidation, 2225, 0, false, D5, -1, INFUNDING, false, 0, 0, -6835183, false, 2225, 5600, 36, 70571273, 0, 0, 19.53, 0, 
675-679, .00, 1091495817, false, 0, Personal, debt_consolidation, 20000, Debt consolidation, 2275, 0, false, D1, -1, INFUNDING, false, 0, 0, -107635183, false, 2275, 20000, 60, 70600432, 0, 0, 16.29, 0, 
670-674, .00, 1197160817, false, 0, Personal, debt_consolidation, 5000, Debt consolidation, 2300, 0, false, C5, -1, INFUNDING, false, 0, 0, -6835183, false, 2300, 5000, 36, 70661256, 0, 0, 15.31, 0, 
